pair_id,customer_message,gold_intent,predicted_intent,confidence,routing_decision,retrieved_case,generated_reply,failure_type,what_failed,likely_cause,potential_improvement
pair_gold_058,Box for order #4058-900174 arrived crushed and internal monitor screen is cracked.,DAMAGED_WRONG_MISSING_ITEM,nan,0.3217,AUTO_HANDLE,@user105 We are so sorry! Please DM us photos of the broken jar and your order number.,Hello! Thanks for reaching out! Please send us a DM with further details so we can assist you right away.,Misclassified Intent,Predicted intent 'nan' instead of true gold intent 'DAMAGED_WRONG_MISSING_ITEM'.,Overlapping domain vocabulary (e.g. delivery query mentioning refund or payment).,Fine-tune domain-specific SentenceTransformer on customer support intent pairs.
pair_gold_061,Why am I not getting free 1-day delivery on Prime eligible item order #4061-900183?,PRIME_SUBSCRIPTION,DELIVERY_STATUS,0.2501,AUTO_HANDLE,We apologize for the delay! Please DM us your order number to track the driver.,Hello! We understand you are inquiring about your package delivery. Please send us a DM with your order ID so we can track the exact status for you.,Misclassified Intent,Predicted intent 'DELIVERY_STATUS' instead of true gold intent 'PRIME_SUBSCRIPTION'.,Overlapping domain vocabulary (e.g. delivery query mentioning refund or payment).,Fine-tune domain-specific SentenceTransformer on customer support intent pairs.
pair_gold_073,Box for order #4073-900219 arrived crushed and internal monitor screen is cracked.,DAMAGED_WRONG_MISSING_ITEM,nan,0.3752,AUTO_HANDLE,@user105 We are so sorry! Please DM us photos of the broken jar and your order number.,Hello! Thanks for reaching out! Please send us a DM with further details so we can assist you right away.,Misclassified Intent,Predicted intent 'nan' instead of true gold intent 'DAMAGED_WRONG_MISSING_ITEM'.,Overlapping domain vocabulary (e.g. delivery query mentioning refund or payment).,Fine-tune domain-specific SentenceTransformer on customer support intent pairs.
pair_gold_076,Why am I not getting free 1-day delivery on Prime eligible item order #4076-900228?,PRIME_SUBSCRIPTION,DELIVERY_STATUS,0.2609,AUTO_HANDLE,We apologize for the delay! Please DM us your order number to track the driver.,Hello! We understand you are inquiring about your package delivery. Please send us a DM with your order ID so we can track the exact status for you.,Misclassified Intent,Predicted intent 'DELIVERY_STATUS' instead of true gold intent 'PRIME_SUBSCRIPTION'.,Overlapping domain vocabulary (e.g. delivery query mentioning refund or payment).,Fine-tune domain-specific SentenceTransformer on customer support intent pairs.
pair_gold_088,Box for order #4088-900264 arrived crushed and internal monitor screen is cracked.,DAMAGED_WRONG_MISSING_ITEM,nan,0.3567,AUTO_HANDLE,@user105 We are so sorry! Please DM us photos of the broken jar and your order number.,Hello! Thanks for reaching out! Please send us a DM with further details so we can assist you right away.,Misclassified Intent,Predicted intent 'nan' instead of true gold intent 'DAMAGED_WRONG_MISSING_ITEM'.,Overlapping domain vocabulary (e.g. delivery query mentioning refund or payment).,Fine-tune domain-specific SentenceTransformer on customer support intent pairs.
pair_gold_091,Why am I not getting free 1-day delivery on Prime eligible item order #4091-900273?,PRIME_SUBSCRIPTION,DELIVERY_STATUS,0.255,AUTO_HANDLE,We apologize for the delay! Please DM us your order number to track the driver.,Hello! We understand you are inquiring about your package delivery. Please send us a DM with your order ID so we can track the exact status for you.,Misclassified Intent,Predicted intent 'DELIVERY_STATUS' instead of true gold intent 'PRIME_SUBSCRIPTION'.,Overlapping domain vocabulary (e.g. delivery query mentioning refund or payment).,Fine-tune domain-specific SentenceTransformer on customer support intent pairs.
pair_gold_103,Box for order #40103-900309 arrived crushed and internal monitor screen is cracked.,DAMAGED_WRONG_MISSING_ITEM,nan,0.3506,AUTO_HANDLE,@user105 We are so sorry! Please DM us photos of the broken jar and your order number.,Hello! Thanks for reaching out! Please send us a DM with further details so we can assist you right away.,Misclassified Intent,Predicted intent 'nan' instead of true gold intent 'DAMAGED_WRONG_MISSING_ITEM'.,Overlapping domain vocabulary (e.g. delivery query mentioning refund or payment).,Fine-tune domain-specific SentenceTransformer on customer support intent pairs.
pair_gold_106,Why am I not getting free 1-day delivery on Prime eligible item order #40106-900318?,PRIME_SUBSCRIPTION,DELIVERY_STATUS,0.2498,AUTO_HANDLE,We apologize for the delay! Please DM us your order number to track the driver.,Hello! We understand you are inquiring about your package delivery. Please send us a DM with your order ID so we can track the exact status for you.,Misclassified Intent,Predicted intent 'DELIVERY_STATUS' instead of true gold intent 'PRIME_SUBSCRIPTION'.,Overlapping domain vocabulary (e.g. delivery query mentioning refund or payment).,Fine-tune domain-specific SentenceTransformer on customer support intent pairs.
pair_gold_118,Box for order #40118-900354 arrived crushed and internal monitor screen is cracked.,DAMAGED_WRONG_MISSING_ITEM,nan,0.3626,AUTO_HANDLE,@user105 We are so sorry! Please DM us photos of the broken jar and your order number.,Hello! Thanks for reaching out! Please send us a DM with further details so we can assist you right away.,Misclassified Intent,Predicted intent 'nan' instead of true gold intent 'DAMAGED_WRONG_MISSING_ITEM'.,Overlapping domain vocabulary (e.g. delivery query mentioning refund or payment).,Fine-tune domain-specific SentenceTransformer on customer support intent pairs.
pair_gold_121,Why am I not getting free 1-day delivery on Prime eligible item order #40121-900363?,PRIME_SUBSCRIPTION,DELIVERY_STATUS,0.2565,AUTO_HANDLE,We apologize for the delay! Please DM us your order number to track the driver.,Hello! We understand you are inquiring about your package delivery. Please send us a DM with your order ID so we can track the exact status for you.,Misclassified Intent,Predicted intent 'DELIVERY_STATUS' instead of true gold intent 'PRIME_SUBSCRIPTION'.,Overlapping domain vocabulary (e.g. delivery query mentioning refund or payment).,Fine-tune domain-specific SentenceTransformer on customer support intent pairs.
pair_gold_133,Box for order #40133-900399 arrived crushed and internal monitor screen is cracked.,DAMAGED_WRONG_MISSING_ITEM,nan,0.3608,AUTO_HANDLE,@user105 We are so sorry! Please DM us photos of the broken jar and your order number.,Hello! Thanks for reaching out! Please send us a DM with further details so we can assist you right away.,Misclassified Intent,Predicted intent 'nan' instead of true gold intent 'DAMAGED_WRONG_MISSING_ITEM'.,Overlapping domain vocabulary (e.g. delivery query mentioning refund or payment).,Fine-tune domain-specific SentenceTransformer on customer support intent pairs.
pair_gold_136,Why am I not getting free 1-day delivery on Prime eligible item order #40136-900408?,PRIME_SUBSCRIPTION,DELIVERY_STATUS,0.2551,AUTO_HANDLE,We apologize for the delay! Please DM us your order number to track the driver.,Hello! We understand you are inquiring about your package delivery. Please send us a DM with your order ID so we can track the exact status for you.,Misclassified Intent,Predicted intent 'DELIVERY_STATUS' instead of true gold intent 'PRIME_SUBSCRIPTION'.,Overlapping domain vocabulary (e.g. delivery query mentioning refund or payment).,Fine-tune domain-specific SentenceTransformer on customer support intent pairs.
pair_gold_148,Box for order #40148-900444 arrived crushed and internal monitor screen is cracked.,DAMAGED_WRONG_MISSING_ITEM,nan,0.3508,AUTO_HANDLE,@user105 We are so sorry! Please DM us photos of the broken jar and your order number.,Hello! Thanks for reaching out! Please send us a DM with further details so we can assist you right away.,Misclassified Intent,Predicted intent 'nan' instead of true gold intent 'DAMAGED_WRONG_MISSING_ITEM'.,Overlapping domain vocabulary (e.g. delivery query mentioning refund or payment).,Fine-tune domain-specific SentenceTransformer on customer support intent pairs.
pair_gold_151,Why am I not getting free 1-day delivery on Prime eligible item order #40151-900453?,PRIME_SUBSCRIPTION,DELIVERY_STATUS,0.2482,AUTO_HANDLE,We apologize for the delay! Please DM us your order number to track the driver.,Hello! We understand you are inquiring about your package delivery. Please send us a DM with your order ID so we can track the exact status for you.,Misclassified Intent,Predicted intent 'DELIVERY_STATUS' instead of true gold intent 'PRIME_SUBSCRIPTION'.,Overlapping domain vocabulary (e.g. delivery query mentioning refund or payment).,Fine-tune domain-specific SentenceTransformer on customer support intent pairs.
pair_gold_163,Box for order #40163-900489 arrived crushed and internal monitor screen is cracked.,DAMAGED_WRONG_MISSING_ITEM,nan,0.3443,AUTO_HANDLE,@user105 We are so sorry! Please DM us photos of the broken jar and your order number.,Hello! Thanks for reaching out! Please send us a DM with further details so we can assist you right away.,Misclassified Intent,Predicted intent 'nan' instead of true gold intent 'DAMAGED_WRONG_MISSING_ITEM'.,Overlapping domain vocabulary (e.g. delivery query mentioning refund or payment).,Fine-tune domain-specific SentenceTransformer on customer support intent pairs.
pair_gold_166,Why am I not getting free 1-day delivery on Prime eligible item order #40166-900498?,PRIME_SUBSCRIPTION,DELIVERY_STATUS,0.2584,AUTO_HANDLE,We apologize for the delay! Please DM us your order number to track the driver.,Hello! We understand you are inquiring about your package delivery. Please send us a DM with your order ID so we can track the exact status for you.,Misclassified Intent,Predicted intent 'DELIVERY_STATUS' instead of true gold intent 'PRIME_SUBSCRIPTION'.,Overlapping domain vocabulary (e.g. delivery query mentioning refund or payment).,Fine-tune domain-specific SentenceTransformer on customer support intent pairs.
pair_gold_178,Box for order #40178-900534 arrived crushed and internal monitor screen is cracked.,DAMAGED_WRONG_MISSING_ITEM,nan,0.3365,AUTO_HANDLE,@user105 We are so sorry! Please DM us photos of the broken jar and your order number.,Hello! Thanks for reaching out! Please send us a DM with further details so we can assist you right away.,Misclassified Intent,Predicted intent 'nan' instead of true gold intent 'DAMAGED_WRONG_MISSING_ITEM'.,Overlapping domain vocabulary (e.g. delivery query mentioning refund or payment).,Fine-tune domain-specific SentenceTransformer on customer support intent pairs.
pair_gold_181,Why am I not getting free 1-day delivery on Prime eligible item order #40181-900543?,PRIME_SUBSCRIPTION,DELIVERY_STATUS,0.2662,AUTO_HANDLE,We apologize for the delay! Please DM us your order number to track the driver.,Hello! We understand you are inquiring about your package delivery. Please send us a DM with your order ID so we can track the exact status for you.,Misclassified Intent,Predicted intent 'DELIVERY_STATUS' instead of true gold intent 'PRIME_SUBSCRIPTION'.,Overlapping domain vocabulary (e.g. delivery query mentioning refund or payment).,Fine-tune domain-specific SentenceTransformer on customer support intent pairs.
pair_gold_193,Box for order #40193-900579 arrived crushed and internal monitor screen is cracked.,DAMAGED_WRONG_MISSING_ITEM,nan,0.3504,AUTO_HANDLE,@user105 We are so sorry! Please DM us photos of the broken jar and your order number.,Hello! Thanks for reaching out! Please send us a DM with further details so we can assist you right away.,Misclassified Intent,Predicted intent 'nan' instead of true gold intent 'DAMAGED_WRONG_MISSING_ITEM'.,Overlapping domain vocabulary (e.g. delivery query mentioning refund or payment).,Fine-tune domain-specific SentenceTransformer on customer support intent pairs.
pair_gold_196,Why am I not getting free 1-day delivery on Prime eligible item order #40196-900588?,PRIME_SUBSCRIPTION,DELIVERY_STATUS,0.2579,AUTO_HANDLE,We apologize for the delay! Please DM us your order number to track the driver.,Hello! We understand you are inquiring about your package delivery. Please send us a DM with your order ID so we can track the exact status for you.,Misclassified Intent,Predicted intent 'DELIVERY_STATUS' instead of true gold intent 'PRIME_SUBSCRIPTION'.,Overlapping domain vocabulary (e.g. delivery query mentioning refund or payment).,Fine-tune domain-specific SentenceTransformer on customer support intent pairs.
